year,date,time,depth,group,common name,genus species,number
1999,14-15May,early morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,1
1999,14-15May,early morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,5
1999,14-15May,evening,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,2
1999,14-15May,afternoon,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,12
1999,14-15May,afternoon,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,4
1999,14-15May,early morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,10
1999,14-15May,night,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani ,17
1999,14-15May,night,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani ,4
1999,14-15May,morning,50,shrimp,pandalid shrimp (unidentified),Pandalus spp.,18
1999,14-15May,evening,10,sea cucumber,Giant California sea cucumber,Parastichopus californicus,1
1999,14-15May,morning,10,sea cucumber,Giant California sea cucumber,Parastichopus californicus,1
1999,14-15May,afternoon,10,sea pen,orange sea pen,Ptilosarcus gurneyi,6
1999,14-15May,early morning,10,sea pen,orange sea pen,Ptilosarcus gurneyi,13
1999,14-15May,evening,10,sea pen,orange sea pen,Ptilosarcus gurneyi,24
1999,14-15May,evening,25,sea pen,orange sea pen,Ptilosarcus gurneyi,13
1999,14-15May,early morning,50,sea pen,orange sea pen,Ptilosarcus gurneyi,1
1999,14-15May,early morning,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
1999,14-15May,night,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
1999,14-15May,evening,50,sea star,sunflower sea star,Pycnopodia helianthoides,1
1999,14-15May,night,25,squid,stubby squid,Rossia pacifica,1
1999,14-15May,afternoon,50,squid,stubby squid,Rossia pacifica,1
1999,14-15May,early morning,50,squid,stubby squid,Rossia pacifica,1
1999,14-15May,evening,50,squid,stubby squid,Rossia pacifica,2
1999,14-15May,morning,50,squid,stubby squid,Rossia pacifica,1
1999,14-15May,evening,10,shrimp,unidentified,,1
1999,14-15May,evening,25,shrimp,unidentified,,1
1999,14-15May,evening,70,shrimp,unidentified,,38
1999,14-15May,night,70,shrimp,unidentified,,12
2000,12-13May,early morning,10,nudibranch,Armina,Armina californica,2
2000,12-13May,evening,10,nudibranch,Armina,Armina californica,4
2000,12-13May,morning,10,nudibranch,Armina,Armina californica,3
2000,12-13May,night,10,nudibranch,Armina,Armina californica,3
2000,12-13May,early morning,25,nudibranch,Armina,Armina californica,2
2000,12-13May,morning,25,nudibranch,Armina,Armina californica,1
2000,12-13May,night,25,nudibranch,Armina,Armina californica,2
2000,12-13May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,5
2000,12-13May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,4
2000,12-13May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,3
2000,12-13May,night,10,shrimp,crangon shrimp,Crangon alaskensis,18
2000,12-13May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,4
2000,12-13May,night,25,shrimp,crangon shrimp,Crangon alaskensis,2
2000,12-13May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,9
2000,12-13May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,3
2000,12-13May,night,50,shrimp,crangon shrimp,Crangon alaskensis,3
2000,12-13May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,29
2000,12-13May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,17
2000,12-13May,night,70,shrimp,crangon shrimp,Crangon alaskensis,12
2000,12-13May,morning,70,squid,market squid,Doryteuthis opalescens,1
2000,12-13May,evening,70,shrimp,broken back shrimp,Heptacarpus spp.,1
2000,12-13May,morning,70,crab,decorator crab,Majoidea,1
2000,12-13May,early morning,10,sea star,vermilion star,Mediaster aequalis,1
2000,12-13May,morning,50,sea star,vermilion star,Mediaster aequalis,1
2000,12-13May,night,50,sea star,vermilion star,Mediaster aequalis,1
2000,12-13May,early morning,70,sea star,vermilion star,Mediaster aequalis,3
2000,12-13May,evening,70,sea star,vermilion star,Mediaster aequalis,1
2000,12-13May,morning,70,sea star,vermilion star,Mediaster aequalis,5
2000,12-13May,night,70,sea star,vermilion star,Mediaster aequalis,5
2000,12-13May,morning,50,crab,Dungeness crab,Metacarcinus magister,1
2000,12-13May,night,50,crab,Dungeness crab,Metacarcinus magister,1
2000,12-13May,night,70,crab,Dungeness crab,Metacarcinus magister,3
2000,12-13May,morning,50,sea anemone,plumose anemone,Metridium senile,1
2000,12-13May,night,50,sea anemone,plumose anemone,Metridium senile,1
2000,12-13May,evening,70,sea anemone,plumose anemone,Metridium senile,2
2000,12-13May,morning,70,sea anemone,plumose anemone,Metridium senile,1
2000,12-13May,night,70,sea anemone,plumose anemone,Metridium senile,4
2000,12-13May,early morning,10,crab,hermit crab,Paguroidea,1
2000,12-13May,morning,10,crab,hermit crab,Paguroidea,1
2000,12-13May,night,10,crab,hermit crab,Paguroidea,2
2000,12-13May,early morning,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,12
2000,12-13May,evening,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,35
2000,12-13May,morning,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,51
2000,12-13May,night,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,39
2000,12-13May,early morning,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,29
2000,12-13May,evening,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,71
2000,12-13May,morning,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,32
2000,12-13May,night,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,60
2000,12-13May,evening,70,shrimp,spot shrimp (prawn),Pandalus platyceros,3
2000,12-13May,night,70,shrimp,spot shrimp (prawn),Pandalus platyceros,9
2000,12-13May,morning,25,sea cucumber,Giant California sea cucumber,Parastichopus californicus,1
2000,12-13May,early morning,10,sea pen,orange sea pen,Ptilosarcus gurneyi,1
2000,12-13May,evening,10,sea pen,orange sea pen,Ptilosarcus gurneyi,1
2000,12-13May,night,10,sea pen,orange sea pen,Ptilosarcus gurneyi,2
2000,12-13May,morning,25,sea pen,orange sea pen,Ptilosarcus gurneyi,1
2000,12-13May,early morning,70,sea pen,orange sea pen,Ptilosarcus gurneyi,2
2000,12-13May,morning,25,crab,kelp crab,Pugettia producta,2
2000,12-13May,evening,70,shrimp,unidentified,,5
2001,11-12May,afternoon,10,nudibranch,Armina,Armina californica,1
2001,11-12May,early morning,10,nudibranch,Armina,Armina californica,5
2001,11-12May,evening,10,nudibranch,Armina,Armina californica,2
2001,11-12May,morning,10,nudibranch,Armina,Armina californica,1
2001,11-12May,night,10,nudibranch,Armina,Armina californica,2
2001,11-12May,evening,25,nudibranch,Armina,Armina californica,1
2001,11-12May,early morning,50,nudibranch,Armina,Armina californica,1
2001,11-12May,afternoon,70,nudibranch,Armina,Armina californica,3
2001,11-12May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,2
2001,11-12May,night,25,shrimp,crangon shrimp,Crangon alaskensis,3
2001,11-12May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,3
2001,11-12May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,3
2001,11-12May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,2
2001,11-12May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,23
2001,11-12May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,2
2001,11-12May,night,70,shrimp,crangon shrimp,Crangon alaskensis,1
2001,11-12May,afternoon,70,sea star,rose star,Crossaster papposus,1
2001,11-12May,early morning,10,squid,market squid,Doryteuthis opalescens,13
2001,11-12May,evening,25,squid,market squid,Doryteuthis opalescens,2
2001,11-12May,early morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,2
2001,11-12May,afternoon,70,sea star,spiny red star,Hippasteria spinosa,1
2001,11-12May,early morning,10,crab,decorator crab,Majoidea,2
2001,11-12May,morning,10,crab,decorator crab,Majoidea,1
2001,11-12May,afternoon,70,crab,decorator crab,Majoidea,2
2001,11-12May,evening,70,crab,decorator crab,Majoidea,2
2001,11-12May,morning,70,crab,decorator crab,Majoidea,1
2001,11-12May,night,70,crab,decorator crab,Majoidea,1
2001,11-12May,afternoon,70,sea star,vermilion star,Mediaster aequalis,4
2001,11-12May,early morning,70,sea star,vermilion star,Mediaster aequalis,2
2001,11-12May,evening,70,sea star,vermilion star,Mediaster aequalis,1
2001,11-12May,morning,70,sea star,vermilion star,Mediaster aequalis,2
2001,11-12May,night,70,sea star,vermilion star,Mediaster aequalis,1
2001,11-12May,afternoon,25,crab,Dungeness crab,Metacarcinus magister,1
2001,11-12May,evening,50,crab,Dungeness crab,Metacarcinus magister,1
2001,11-12May,evening,70,crab,Dungeness crab,Metacarcinus magister,1
2001,11-12May,morning,10,crab,hermit crab,Paguroidea,2
2001,11-12May,night,10,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,1
2001,11-12May,early morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,4
2001,11-12May,evening,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,1
2001,11-12May,afternoon,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,13
2001,11-12May,early morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,13
2001,11-12May,night,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,6
2001,11-12May,early morning,70,shrimp,spot shrimp (prawn),Pandalus platyceros,1
2001,11-12May,evening,70,shrimp,spot shrimp (prawn),Pandalus platyceros,19
2001,11-12May,morning,70,shrimp,spot shrimp (prawn),Pandalus platyceros,16
2001,11-12May,night,70,shrimp,spot shrimp (prawn),Pandalus platyceros,4
2001,11-12May,early morning,70,sea cucumber,Giant California sea cucumber,Parastichopus californicus,1
2001,11-12May,evening,70,sea cucumber,Giant California sea cucumber,Parastichopus californicus,2
2001,11-12May,evening,10,sea star,sunflower sea star,Pycnopodia helianthoides,1
2001,11-12May,afternoon,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
2001,11-12May,night,70,crab,sharpnose crab,Scyra acutifrons,2
2001,11-12May,evening,70,sea urchin,unidentified,,1
2001,11-12May,early morning,25,crab,sponge crab,,1
2001,11-12May,evening,70,shrimp,unidentified,,1
2002,17-18May,early morning,10,crab,red rock crab,Cancer productus,1
2002,17-18May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,1
2002,17-18May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,1
2002,17-18May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,2
2002,17-18May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,2
2002,17-18May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,2
2002,17-18May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,3
2002,17-18May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,6
2002,17-18May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,13
2002,17-18May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,6
2002,17-18May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,13
2002,17-18May,early morning,10,squid,market squid,Doryteuthis opalescens,1
2002,17-18May,morning,10,squid,market squid,Doryteuthis opalescens,1
2002,17-18May,afternoon,50,squid,market squid,Doryteuthis opalescens,2
2002,17-18May,early morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,7
2002,17-18May,morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,5
2002,17-18May,morning,10,crab,decorator crab,Majoidea,1
2002,17-18May,early morning,25,crab,decorator crab,Majoidea,1
2002,17-18May,night,25,sea star,vermilion star,Mediaster aequalis,2
2002,17-18May,early morning,70,sea star,vermilion star,Mediaster aequalis,1
2002,17-18May,morning,70,sea star,vermilion star,Mediaster aequalis,2
2002,17-18May,night,70,sea star,vermilion star,Mediaster aequalis,1
2002,17-18May,evening,25,crab,Dungeness crab,Metacarcinus magister,1
2002,17-18May,afternoon,50,crab,Dungeness crab,Metacarcinus magister,1
2002,17-18May,early morning,50,crab,Dungeness crab,Metacarcinus magister,2
2002,17-18May,evening,50,crab,Dungeness crab,Metacarcinus magister,3
2002,17-18May,night,50,crab,Dungeness crab,Metacarcinus magister,1
2002,17-18May,evening,70,crab,Dungeness crab,Metacarcinus magister,1
2002,17-18May,morning,70,crab,Dungeness crab,Metacarcinus magister,1
2002,17-18May,night,25,sea anemone,plumose anemone,Metridium senile,1
2002,17-18May,night,50,sea anemone,plumose anemone,Metridium senile,2
2002,17-18May,night,70,sea anemone,plumose anemone,Metridium senile,1
2002,17-18May,afternoon,10,crab,hermit crab,Paguroidea,1
2002,17-18May,evening,10,crab,hermit crab,Paguroidea,2
2002,17-18May,night,25,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,3
2002,17-18May,afternoon,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,11
2002,17-18May,early morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,6
2002,17-18May,evening,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,7
2002,17-18May,morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,4
2002,17-18May,early morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,12
2002,17-18May,evening,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,36
2002,17-18May,morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,12
2002,17-18May,night,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,13
2002,17-18May,morning,70,shrimp,spot shrimp (prawn),Pandalus platyceros,2
2002,17-18May,night,25,sea cucumber,Giant California sea cucumber,Parastichopus californicus,1
2002,17-18May,morning,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
2002,17-18May,afternoon,50,squid,stubby squid,Rossia pacifica,1
2002,17-18May,early morning,50,squid,stubby squid,Rossia pacifica,1
2002,17-18May,night,50,squid,stubby squid,Rossia pacifica,1
2003,16-17May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,1
2003,16-17May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,1
2003,16-17May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,12
2003,16-17May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,1
2003,16-17May,night,25,shrimp,crangon shrimp,Crangon alaskensis,10
2003,16-17May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,2
2003,16-17May,night,50,shrimp,crangon shrimp,Crangon alaskensis,17
2003,16-17May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,19
2003,16-17May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,14
2003,16-17May,night,70,shrimp,crangon shrimp,Crangon alaskensis,53
2003,16-17May,evening,10,squid,market squid,Doryteuthis opalescens,1
2003,16-17May,early morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,35
2003,16-17May,morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,29
2003,16-17May,afternoon,50,sea star,sand star,Luidia foliolata,3
2003,16-17May,early morning,50,sea star,sand star,Luidia foliolata,1
2003,16-17May,night,50,sea star,vermilion star,Mediaster aequalis,1
2003,16-17May,morning,70,sea star,vermilion star,Mediaster aequalis,5
2003,16-17May,morning,50,crab,Dungeness crab,Metacarcinus magister,1
2003,16-17May,afternoon,50,crab,Dungeness crab (f),Metacarcinus magister,2
2003,16-17May,early morning,50,crab,Dungeness crab (f),Metacarcinus magister,3
2003,16-17May,early morning,70,crab,Dungeness crab (f),Metacarcinus magister,1
2003,16-17May,afternoon,10,crab,Dungeness crab (m),Metacarcinus magister,1
2003,16-17May,evening,10,crab,Dungeness crab (m),Metacarcinus magister,1
2003,16-17May,evening,10,crab,Dungeness crab (m),Metacarcinus magister,3
2003,16-17May,afternoon,50,crab,Dungeness crab (m),Metacarcinus magister,1
2003,16-17May,night,50,octopus,East Pacific red octopus,Octopus rubescens,1
2003,16-17May,night,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,1
2003,16-17May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,3
2003,16-17May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,2
2003,16-17May,early morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,1
2003,16-17May,night,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,50
2003,16-17May,early morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,124
2003,16-17May,morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,159
2003,16-17May,night,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,9
2003,16-17May,early morning,70,shrimp,spot shrimp (prawn),Pandalus platyceros,1
2003,16-17May,evening,25,sea cucumber,Giant California sea cucumber,Parastichopus californicus,1
2003,16-17May,early morning,10,sea pen,orange sea pen,Ptilosarcus gurneyi,1
2003,16-17May,early morning,50,squid,stubby squid,Rossia pacifica,1
2003,16-17May,morning,50,squid,stubby squid,Rossia pacifica,1
2004,14-15May,morning,25,nudibranch,Armina,Armina californica,1
2004,14-15May,evening,70,crab,red rock crab,Cancer productus,1
2004,14-15May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,1
2004,14-15May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,1
2004,14-15May,night,25,shrimp,crangon shrimp,Crangon alaskensis,10
2004,14-15May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,111
2004,14-15May,night,50,shrimp,crangon shrimp,Crangon alaskensis,6
2004,14-15May,night,70,shrimp,crangon shrimp,Crangon alaskensis,18
2004,14-15May,morning,50,nudibranch,giant nudibranch,Dendronotus iris,1
2004,14-15May,afternoon,10,squid,market squid,Doryteuthis opalescens,7
2004,14-15May,early morning,10,squid,market squid,Doryteuthis opalescens,1
2004,14-15May,morning,10,squid,market squid,Doryteuthis opalescens,10
2004,14-15May,night,10,squid,market squid,Doryteuthis opalescens,1
2004,14-15May,night,70,shrimp,doll eualid shrimp,Eualus pusiolus,8
2004,14-15May,afternoon,50,sea star,spiny red star,Hippasteria spinosa,1
2004,14-15May,early morning,50,sea star,sand star,Luidia foliolata,4
2004,14-15May,afternoon,70,sea star,sand star,Luidia foliolata,1
2004,14-15May,evening,70,sea star,sand star,Luidia foliolata,1
2004,14-15May,morning,70,sea star,sand star,Luidia foliolata,3
2004,14-15May,night,70,sea star,sand star,Luidia foliolata,1
2004,14-15May,evening,10,crab,Dungeness crab,Metacarcinus magister,1
2004,14-15May,night,25,crab,Dungeness crab (f),Metacarcinus magister,1
2004,14-15May,afternoon,50,crab,Dungeness crab (f),Metacarcinus magister,3
2004,14-15May,early morning,50,crab,Dungeness crab (f),Metacarcinus magister,1
2004,14-15May,evening,50,crab,Dungeness crab (f),Metacarcinus magister,1
2004,14-15May,morning,50,crab,Dungeness crab (f),Metacarcinus magister,5
2004,14-15May,night,50,crab,Dungeness crab (f),Metacarcinus magister,1
2004,14-15May,afternoon,70,crab,Dungeness crab (f),Metacarcinus magister,2
2004,14-15May,evening,70,crab,Dungeness crab (f),Metacarcinus magister,1
2004,14-15May,night,70,crab,Dungeness crab (f),Metacarcinus magister,1
2004,14-15May,night,10,crab,Dungeness crab (m),Metacarcinus magister,1
2004,14-15May,afternoon,25,crab,Dungeness crab (m),Metacarcinus magister,1
2004,14-15May,night,25,crab,Dungeness crab (m),Metacarcinus magister,1
2004,14-15May,afternoon,50,crab,Dungeness crab (m),Metacarcinus magister,2
2004,14-15May,afternoon,70,crab,Dungeness crab (m),Metacarcinus magister,2
2004,14-15May,night,70,crab,Dungeness crab (m),Metacarcinus magister,1
2004,14-15May,early morning,25,octopus,East Pacific red octopus,Octopus rubescens,1
2004,14-15May,morning,50,octopus,East Pacific red octopus,Octopus rubescens,1
2004,14-15May,afternoon,10,crab,hermit crab,Paguroidea,1
2004,14-15May,early morning,10,crab,hermit crab,Paguroidea,2
2004,14-15May,early morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,2
2004,14-15May,morning,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,1
2004,14-15May,night,50,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,2
2004,14-15May,night,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,1
2004,14-15May,evening,70,shrimp,spot shrimp (prawn),Pandalus platyceros,1
2004,14-15May,morning,70,shrimp,spot shrimp (prawn),Pandalus platyceros,1
2004,14-15May,early morning,10,sea pen,orange sea pen,Ptilosarcus gurneyi,2
2004,14-15May,night,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
2004,14-15May,morning,25,squid,stubby squid,Rossia pacifica,1
2004,14-15May,night,25,squid,stubby squid,Rossia pacifica,1
2004,14-15May,early morning,50,squid,stubby squid,Rossia pacifica,1
2004,14-15May,afternoon,50,sea star,sun star,Solaster stimpsoni ,1
2004,14-15May,early morning,50,sea star,sun star,Solaster stimpsoni ,1
2004,14-15May,evening,50,sea star,sun star,Solaster stimpsoni ,1
2004,14-15May,morning,50,sea star,sun star,Solaster stimpsoni ,2
2004,14-15May,evening,70,sea star,sun star,Solaster stimpsoni ,1
2005,13-14May,afternoon,10,nudibranch,Armina,Armina californica,2
2005,13-14May,early morning,10,nudibranch,Armina,Armina californica,1
2005,13-14May,morning,10,nudibranch,Armina,Armina californica,2
2005,13-14May,night,10,nudibranch,Armina,Armina californica,3
2005,13-14May,early morning,25,nudibranch,Armina,Armina californica,1
2005,13-14May,morning,25,nudibranch,Armina,Armina californica,2
2005,13-14May,night,70,nudibranch,Armina,Armina californica,1
2005,13-14May,evening,10,crab,red rock crab,Cancer productus,1
2005,13-14May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,2
2005,13-14May,night,10,shrimp,crangon shrimp,Crangon alaskensis,3
2005,13-14May,night,50,shrimp,crangon shrimp,Crangon alaskensis,1
2005,13-14May,early morning,70,sea star,rose star,Crossaster papposus,1
2005,13-14May,afternoon,70,sea star,vermilion star,Mediaster aequalis,1
2005,13-14May,early morning,70,sea star,vermilion star,Mediaster aequalis,1
2005,13-14May,evening,10,crab,Dungeness crab,Metacarcinus magister,1
2005,13-14May,night,10,crab,Dungeness crab,Metacarcinus magister,2
2005,13-14May,night,25,crab,Dungeness crab,Metacarcinus magister,1
2005,13-14May,early morning,50,crab,Dungeness crab,Metacarcinus magister,1
2005,13-14May,morning,50,crab,Dungeness crab,Metacarcinus magister,2
2005,13-14May,night,50,crab,Dungeness crab,Metacarcinus magister,4
2005,13-14May,early morning,70,crab,Dungeness crab,Metacarcinus magister,3
2005,13-14May,evening,70,crab,Dungeness crab,Metacarcinus magister,4
2005,13-14May,night,70,crab,Dungeness crab,Metacarcinus magister,1
2005,13-14May,morning,25,sea anemone,plumose anemone,Metridium senile,2
2005,13-14May,night,25,sea anemone,plumose anemone,Metridium senile,1
2005,13-14May,afternoon,50,sea anemone,plumose anemone,Metridium senile,1
2005,13-14May,evening,50,sea anemone,plumose anemone,Metridium senile,2
2005,13-14May,morning,50,sea anemone,plumose anemone,Metridium senile,2
2005,13-14May,afternoon,70,sea anemone,plumose anemone,Metridium senile,4
2005,13-14May,early morning,70,sea anemone,plumose anemone,Metridium senile,22
2005,13-14May,evening,70,sea anemone,plumose anemone,Metridium senile,35
2005,13-14May,morning,70,sea anemone,plumose anemone,Metridium senile,1
2005,13-14May,night,70,sea anemone,plumose anemone,Metridium senile,10
2005,13-14May,night,10,crab,hermit crab,Paguroidea,1
2005,13-14May,afternoon,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,2
2005,13-14May,night,10,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,2
2005,13-14May,afternoon,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,19
2005,13-14May,early morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,16
2005,13-14May,evening,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,17
2005,13-14May,morning,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,17
2005,13-14May,night,70,shrimp,ocean (smooth) pink shrimp,Pandalus jordani,27
2005,13-14May,afternoon,70,shrimp,spot shrimp (prawn),Pandalus platyceros,4
2005,13-14May,early morning,70,shrimp,spot shrimp (prawn),Pandalus platyceros,5
2005,13-14May,evening,70,shrimp,spot shrimp (prawn),Pandalus platyceros,36
2005,13-14May,morning,70,shrimp,spot shrimp (prawn),Pandalus platyceros,7
2005,13-14May,night,25,shrimp,striped shrimp,Pandalus spp.,11
2005,13-14May,early morning,70,sea cucumber,Giant California sea cucumber,Parastichopus californicus,1
2005,13-14May,evening,70,sea cucumber,Giant California sea cucumber,Parastichopus californicus,2
2005,13-14May,afternoon,10,sea pen,orange sea pen,Ptilosarcus gurneyi,1
2005,13-14May,night,10,crab,kelp crab,Pugettia producta,1
2005,13-14May,afternoon,25,crab,kelp crab,Pugettia producta,1
2005,13-14May,evening,70,crab,kelp crab,Pugettia producta,2
2005,13-14May,early morning,10,sea star,sunflower sea star,Pycnopodia helianthoides,2
2005,13-14May,morning,10,sea star,sunflower sea star,Pycnopodia helianthoides,2
2005,13-14May,afternoon,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
2005,13-14May,early morning,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
2005,13-14May,morning,25,sea star,sunflower sea star,Pycnopodia helianthoides,1
2005,13-14May,early morning,50,sea star,sunflower sea star,Pycnopodia helianthoides,1
